lat,lng,severity,acclass,year
43.661939,-79.367011,3,Fatal Injury,2026
43.684959,-79.362721,3,Fatal Injury,2026
43.669709,-79.395651,3,Fatal Injury,2026
43.669709,-79.395651,3,Fatal Injury,2026
43.661939,-79.367011,3,Fatal Injury,2026
43.684959,-79.362721,3,Fatal Injury,2026
43.641903,-79.412732,3,Fatal Injury,2025
43.641903,-79.412732,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.645818,-79.370155,3,Fatal Injury,2025
43.659867,-79.378509,3,Non-Fatal Injury,2025
43.657289,-79.370601,3,Fatal Injury,2025
43.657289,-79.370601,3,Fatal Injury,2025
43.649026,-79.352106,3,Fatal Injury,2024
43.649026,-79.352106,3,Fatal Injury,2024
43.681151,-79.367909,3,Fatal Injury,2024
43.681151,-79.367909,3,Fatal Injury,2024
43.672144,-79.395535,3,Fatal Injury,2024
43.672144,-79.395535,3,Fatal Injury,2024
43.635734,-79.418407,3,Fatal Injury,2024
43.635734,-79.418407,3,Fatal Injury,2024
43.656257,-79.361546,3,Fatal Injury,2024
43.656257,-79.361546,3,Fatal Injury,2024
43.656257,-79.361546,3,Fatal Injury,2024
43.650092,-79.349162,3,Fatal Injury,2024
43.650092,-79.349162,3,Fatal Injury,2024
43.650092,-79.349162,3,Fatal Injury,2024
43.650092,-79.349162,3,Fatal Injury,2024
43.650092,-79.349162,3,Fatal Injury,2024
43.658062,-79.353975,3,Fatal Injury,2024
43.658062,-79.353975,3,Fatal Injury,2024
43.662332,-79.425811,3,Fatal Injury,2024
43.662332,-79.425811,3,Fatal Injury,2024
43.668908,-79.393227,3,Fatal Injury,2024
43.668908,-79.393227,3,Fatal Injury,2024
43.635734,-79.418407,3,Fatal Injury,2024
43.635734,-79.418407,3,Fatal Injury,2024
43.635734,-79.418407,3,Fatal Injury,2024
43.635734,-79.418407,3,Fatal Injury,2024
43.672358,-79.379529,3,Fatal Injury,2023
43.672358,-79.379529,3,Fatal Injury,2023
43.645449,-79.369916,3,Fatal Injury,2023
43.645449,-79.369916,3,Fatal Injury,2023
43.648081,-79.376012,3,Fatal Injury,2023
43.648081,-79.376012,3,Fatal Injury,2023
43.648081,-79.376012,3,Fatal Injury,2023
43.648081,-79.376012,3,Fatal Injury,2023
43.648081,-79.376012,3,Fatal Injury,2023
43.648081,-79.376012,3,Fatal Injury,2023
43.641585,-79.349553,3,Fatal Injury,2023
43.641585,-79.349553,3,Fatal Injury,2023
43.660742,-79.385815,3,Fatal Injury,2022
43.660742,-79.385815,3,Fatal Injury,2022
43.656187,-79.378277,3,Fatal Injury,2022
43.656187,-79.378277,3,Fatal Injury,2022
43.656187,-79.378277,3,Fatal Injury,2022
43.644991,-79.394864,3,Fatal Injury,2022
43.644991,-79.394864,3,Fatal Injury,2022
43.630167,-79.426129,3,Fatal Injury,2022
43.630167,-79.426129,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.646311,-79.384061,3,Fatal Injury,2022
43.661299,-79.383069,3,Fatal Injury,2022
43.661299,-79.383069,3,Fatal Injury,2022
43.661299,-79.383069,3,Fatal Injury,2022
43.68801,-79.394101,3,Fatal Injury,2022
43.68801,-79.394101,3,Fatal Injury,2022
43.652869,-79.398007,3,Fatal Injury,2022
43.652869,-79.398007,3,Fatal Injury,2022
43.652201,-79.401105,3,Fatal Injury,2021
43.652201,-79.401105,3,Fatal Injury,2021
43.652201,-79.401105,3,Fatal Injury,2021
43.658202,-79.37103,3,Fatal Injury,2021
43.658202,-79.37103,3,Fatal Injury,2021
43.662264,-79.35526,3,Fatal Injury,2021
43.662264,-79.35526,3,Fatal Injury,2021
43.668646,-79.394101,3,Fatal Injury,2021
43.668646,-79.394101,3,Fatal Injury,2021
43.640932,-79.38065,3,Fatal Injury,2021
43.640932,-79.38065,3,Fatal Injury,2021
43.635599,-79.398328,3,Fatal Injury,2021
43.635599,-79.398328,3,Fatal Injury,2021
43.659785,-79.390454,3,Fatal Injury,2021
43.659785,-79.390454,3,Fatal Injury,2021
43.662001,-79.35516,3,Fatal Injury,2021
43.662001,-79.35516,3,Fatal Injury,2021
43.662001,-79.35516,3,Fatal Injury,2021
43.658221,-79.370991,3,Fatal Injury,2021
43.658221,-79.370991,3,Fatal Injury,2021
43.645502,-79.369816,3,Fatal Injury,2021
43.645502,-79.369816,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.651617,-79.378949,3,Fatal Injury,2021
43.64892,-79.356,3,Fatal Injury,2020
43.64892,-79.356,3,Fatal Injury,2020
43.651957,-79.402226,3,Fatal Injury,2020
43.651957,-79.402226,3,Fatal Injury,2020
43.671549,-79.421506,3,Fatal Injury,2020
43.671549,-79.421506,3,Fatal Injury,2020
43.651259,-79.357358,3,Fatal Injury,2020
43.651259,-79.357358,3,Fatal Injury,2020
43.659567,-79.375561,3,Fatal Injury,2020
43.659567,-79.375561,3,Fatal Injury,2020
43.648466,-79.385311,3,Fatal Injury,2019
43.648466,-79.385311,3,Fatal Injury,2019
43.663755,-79.410679,3,Fatal Injury,2019
43.663755,-79.410679,3,Fatal Injury,2019
43.672285,-79.376813,3,Fatal Injury,2019
43.672285,-79.376813,3,Fatal Injury,2019
43.660287,-79.361744,3,Fatal Injury,2019
43.660287,-79.361744,3,Fatal Injury,2019
43.652609,-79.378056,3,Fatal Injury,2019
43.652609,-79.378056,3,Fatal Injury,2019
43.681639,-79.425679,3,Fatal Injury,2019
43.681639,-79.425679,3,Fatal Injury,2019
43.649541,-79.382092,3,Fatal Injury,2018
43.649541,-79.382092,3,Fatal Injury,2018
43.658186,-79.398159,3,Fatal Injury,2018
43.658186,-79.398159,3,Fatal Injury,2018
43.684389,-79.383663,3,Fatal Injury,2018
43.684389,-79.383663,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.667444,-79.3998,3,Fatal Injury,2018
43.667444,-79.3998,3,Fatal Injury,2018
43.663324,-79.369694,3,Fatal Injury,2018
43.663324,-79.369694,3,Fatal Injury,2018
43.658514,-79.350941,3,Fatal Injury,2018
43.658514,-79.350941,3,Fatal Injury,2018
43.658514,-79.350941,3,Fatal Injury,2018
43.663293,-79.426228,3,Fatal Injury,2018
43.663293,-79.426228,3,Fatal Injury,2018
43.67512,-79.394154,3,Fatal Injury,2018
43.67512,-79.394154,3,Fatal Injury,2018
43.67512,-79.394154,3,Fatal Injury,2018
43.648973,-79.36726,3,Fatal Injury,2017
43.648973,-79.36726,3,Fatal Injury,2017
43.637956,-79.395634,3,Fatal Injury,2017
43.637956,-79.395634,3,Fatal Injury,2017
43.64982,-79.380772,3,Fatal Injury,2017
43.64982,-79.380772,3,Fatal Injury,2017
43.667635,-79.378895,3,Fatal Injury,2017
43.667635,-79.378895,3,Fatal Injury,2017
43.651315,-79.397404,3,Fatal Injury,2017
43.651315,-79.397404,3,Fatal Injury,2017
43.680994,-79.368061,3,Fatal Injury,2017
43.680994,-79.368061,3,Fatal Injury,2017
43.680994,-79.368061,3,Fatal Injury,2017
43.65822,-79.370991,3,Fatal Injury,2017
43.65822,-79.370991,3,Fatal Injury,2017
43.65822,-79.370991,3,Fatal Injury,2017
43.65835,-79.370533,3,Fatal Injury,2017
43.65835,-79.370533,3,Fatal Injury,2017
43.6495,-79.428959,3,Fatal Injury,2017
43.6495,-79.428959,3,Fatal Injury,2017
43.682851,-79.357182,3,Fatal Injury,2017
43.682851,-79.357182,3,Fatal Injury,2017
43.67996,-79.389859,3,Fatal Injury,2017
43.67996,-79.389859,3,Fatal Injury,2017
43.648542,-79.373822,3,Fatal Injury,2017
43.648542,-79.373822,3,Fatal Injury,2017
43.654325,-79.422665,3,Fatal Injury,2017
43.654325,-79.422665,3,Fatal Injury,2017
43.653719,-79.373242,3,Fatal Injury,2016
43.653719,-79.373242,3,Fatal Injury,2016
43.651472,-79.367009,3,Fatal Injury,2016
43.651472,-79.367009,3,Fatal Injury,2016
43.640691,-79.392285,3,Fatal Injury,2016
43.640691,-79.392285,3,Fatal Injury,2016
43.640691,-79.392285,3,Fatal Injury,2016
43.645872,-79.36343,3,Fatal Injury,2016
43.645872,-79.36343,3,Fatal Injury,2016
43.671198,-79.423725,3,Fatal Injury,2016
43.671198,-79.423725,3,Fatal Injury,2016
43.671198,-79.423725,3,Fatal Injury,2016
43.656931,-79.364994,3,Fatal Injury,2016
43.656931,-79.364994,3,Fatal Injury,2016
43.642065,-79.377453,3,Fatal Injury,2016
43.642065,-79.377453,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.681226,-79.427662,3,Fatal Injury,2016
43.681226,-79.427662,3,Fatal Injury,2016
43.681226,-79.427662,3,Fatal Injury,2016
43.641405,-79.349179,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.657777,-79.373677,3,Fatal Injury,2016
43.657777,-79.373677,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.669096,-79.352986,3,Fatal Injury,2015
43.657739,-79.3708,3,Fatal Injury,2015
43.657739,-79.3708,3,Fatal Injury,2015
43.681032,-79.42886,3,Fatal Injury,2015
43.681032,-79.42886,3,Fatal Injury,2015
43.637426,-79.412121,3,Fatal Injury,2015
43.665819,-79.352764,3,Fatal Injury,2015
43.665819,-79.352764,3,Fatal Injury,2015
43.664442,-79.342381,3,Fatal Injury,2015
43.664442,-79.342381,3,Fatal Injury,2015
43.664442,-79.342381,3,Fatal Injury,2015
43.664442,-79.342381,3,Fatal Injury,2015
43.671625,-79.365841,3,Fatal Injury,2015
43.671625,-79.365841,3,Fatal Injury,2015
43.679422,-79.382313,3,Fatal Injury,2015
43.679422,-79.382313,3,Fatal Injury,2015
43.674711,-79.396595,3,Fatal Injury,2015
43.674711,-79.396595,3,Fatal Injury,2015
43.655328,-79.36575,3,Fatal Injury,2015
43.655328,-79.36575,3,Fatal Injury,2015
43.65254,-79.399861,3,Fatal Injury,2014
43.65254,-79.399861,3,Fatal Injury,2014
43.652261,-79.401135,3,Fatal Injury,2014
43.652261,-79.401135,3,Fatal Injury,2014
43.652261,-79.401135,3,Fatal Injury,2014
43.652261,-79.401135,3,Fatal Injury,2014
43.675115,-79.357846,3,Fatal Injury,2014
43.656084,-79.362255,3,Fatal Injury,2014
43.656084,-79.362255,3,Fatal Injury,2014
43.656084,-79.362255,3,Fatal Injury,2014
43.655386,-79.379864,3,Fatal Injury,2014
43.655386,-79.379864,3,Fatal Injury,2014
43.687524,-79.396794,3,Fatal Injury,2014
43.687524,-79.396794,3,Fatal Injury,2014
43.655573,-79.412014,3,Fatal Injury,2014
43.655573,-79.412014,3,Fatal Injury,2014
43.655573,-79.412014,3,Fatal Injury,2014
43.657858,-79.374883,2,Non-Fatal Injury,2026
43.652447,-79.375441,2,Non-Fatal Injury,2026
43.665938,-79.39188,2,Non-Fatal Injury,2026
43.637957,-79.401507,2,Non-Fatal Injury,2026
43.652595,-79.372741,2,Non-Fatal Injury,2026
43.646828,-79.395155,2,Non-Fatal Injury,2026
43.660536,-79.342473,2,Non-Fatal Injury,2026
43.646696,-79.403813,2,Non-Fatal Injury,2026
43.67817,-79.398022,2,Non-Fatal Injury,2025
43.657047,-79.37452,2,Non-Fatal Injury,2025
43.645548,-79.394486,2,Non-Fatal Injury,2025
43.683294,-79.360207,2,Non-Fatal Injury,2025
43.639137,-79.410819,2,Non-Fatal Injury,2025
43.666204,-79.393177,2,Non-Fatal Injury,2025
43.657744,-79.354924,2,Non-Fatal Injury,2025
43.659815,-79.409092,2,Non-Fatal Injury,2025
43.662146,-79.372593,2,Non-Fatal Injury,2025
43.637517,-79.410931,2,Non-Fatal Injury,2025
43.673362,-79.399401,2,Non-Fatal Injury,2025
43.666284,-79.378353,2,Non-Fatal Injury,2025
43.658126,-79.340186,2,Non-Fatal Injury,2025
43.663911,-79.417177,2,Non-Fatal Injury,2025
43.681238,-79.417649,2,Non-Fatal Injury,2025
43.661188,-79.384007,2,Non-Fatal Injury,2025
43.658237,-79.398163,2,Non-Fatal Injury,2025
43.638894,-79.386403,2,Non-Fatal Injury,2025
43.661142,-79.42938,2,Non-Fatal Injury,2025
43.673439,-79.389455,2,Non-Fatal Injury,2025
43.630152,-79.423238,2,Non-Fatal Injury,2025
43.63974,-79.393372,2,Non-Fatal Injury,2025
43.646052,-79.378804,2,Non-Fatal Injury,2025
43.644449,-79.399999,2,Non-Fatal Injury,2025
43.651346,-79.405614,2,Non-Fatal Injury,2025
43.646263,-79.378987,2,Non-Fatal Injury,2025
43.668124,-79.385844,2,Non-Fatal Injury,2025
43.641075,-79.380714,2,Non-Fatal Injury,2025
43.663708,-79.418429,2,Non-Fatal Injury,2025
43.679798,-79.345187,2,Non-Fatal Injury,2025
43.653168,-79.375771,2,Non-Fatal Injury,2025
43.671117,-79.413619,2,Non-Fatal Injury,2025
43.670813,-79.384175,2,Non-Fatal Injury,2025
43.649424,-79.389163,2,Non-Fatal Injury,2025
43.662221,-79.352232,2,Non-Fatal Injury,2025
43.658659,-79.369489,2,Non-Fatal Injury,2025
43.660624,-79.342015,2,Non-Fatal Injury,2025
43.671476,-79.390244,2,Non-Fatal Injury,2025
43.687147,-79.410184,2,Non-Fatal Injury,2025
43.639972,-79.38045,2,Non-Fatal Injury,2025
43.655023,-79.367132,2,Non-Fatal Injury,2025
43.665673,-79.410077,2,Non-Fatal Injury,2025
43.683149,-79.418425,2,Non-Fatal Injury,2025
43.658313,-79.397833,2,Non-Fatal Injury,2025
43.652746,-79.393389,2,Non-Fatal Injury,2025
43.658448,-79.370397,2,Non-Fatal Injury,2025
43.666575,-79.385213,2,Non-Fatal Injury,2025
43.664942,-79.384582,2,Non-Fatal Injury,2025
43.664801,-79.341571,2,Non-Fatal Injury,2025
43.67027,-79.394697,2,Non-Fatal Injury,2025
43.641978,-79.374562,2,Non-Fatal Injury,2025
43.662792,-79.379798,2,Non-Fatal Injury,2025
43.651755,-79.354764,2,Non-Fatal Injury,2025
43.67557,-79.423062,2,Non-Fatal Injury,2025
43.685792,-79.347346,2,Non-Fatal Injury,2025
43.664757,-79.355308,2,Non-Fatal Injury,2025
43.647658,-79.401685,2,Non-Fatal Injury,2024
43.645998,-79.379101,2,Non-Fatal Injury,2024
43.681898,-79.391514,2,Non-Fatal Injury,2024
43.656191,-79.378239,2,Non-Fatal Injury,2024
43.657954,-79.408314,2,Non-Fatal Injury,2024
43.657954,-79.408314,2,Non-Fatal Injury,2024
43.661299,-79.383069,2,Non-Fatal Injury,2024
43.664992,-79.378514,2,Non-Fatal Injury,2024
43.642763,-79.407796,2,Non-Fatal Injury,2024
43.673033,-79.36916,2,Non-Fatal Injury,2024
43.688815,-79.428288,2,Non-Fatal Injury,2024
43.67866,-79.368176,2,Non-Fatal Injury,2024
43.654402,-79.422673,2,Non-Fatal Injury,2024
43.674383,-79.402981,2,Non-Fatal Injury,2024
43.649561,-79.428098,2,Non-Fatal Injury,2024
43.675446,-79.404797,2,Non-Fatal Injury,2024
43.639292,-79.410832,2,Non-Fatal Injury,2024
43.645689,-79.409764,2,Non-Fatal Injury,2024
43.651701,-79.397694,2,Non-Fatal Injury,2024
43.638811,-79.391232,2,Non-Fatal Injury,2024
43.648264,-79.380238,2,Non-Fatal Injury,2024
43.648726,-79.38634,2,Non-Fatal Injury,2024
43.651041,-79.405522,2,Non-Fatal Injury,2024
43.651041,-79.405522,2,Non-Fatal Injury,2024
43.670543,-79.38552,2,Non-Fatal Injury,2024
43.64988,-79.371564,2,Non-Fatal Injury,2024
43.67379,-79.356695,2,Non-Fatal Injury,2024
43.641986,-79.381074,2,Non-Fatal Injury,2024
43.648976,-79.393283,2,Non-Fatal Injury,2024
43.646403,-79.392382,2,Non-Fatal Injury,2024
43.6679,-79.412346,2,Non-Fatal Injury,2024
43.642852,-79.393734,2,Non-Fatal Injury,2024
43.649074,-79.356282,2,Non-Fatal Injury,2024
43.659399,-79.374338,2,Non-Fatal Injury,2024
43.630537,-79.419721,2,Non-Fatal Injury,2024
43.657165,-79.363735,2,Non-Fatal Injury,2024
43.650112,-79.349912,2,Non-Fatal Injury,2024
43.64231,-79.410688,2,Non-Fatal Injury,2024
43.654727,-79.421472,2,Non-Fatal Injury,2024
43.649515,-79.361834,2,Non-Fatal Injury,2024
43.67044,-79.34398,2,Non-Fatal Injury,2024
43.638516,-79.392057,2,Non-Fatal Injury,2024
43.638516,-79.392057,2,Non-Fatal Injury,2024
43.638516,-79.392057,2,Non-Fatal Injury,2024
43.679561,-79.366703,2,Non-Fatal Injury,2024
43.659502,-79.391797,2,Non-Fatal Injury,2024
43.674985,-79.39656,2,Non-Fatal Injury,2024
43.685245,-79.349881,2,Non-Fatal Injury,2024
43.67079,-79.405556,2,Non-Fatal Injury,2024
43.667512,-79.369216,2,Non-Fatal Injury,2024
43.665157,-79.380674,2,Non-Fatal Injury,2024
43.67071,-79.354184,2,Non-Fatal Injury,2024
43.665224,-79.398938,2,Non-Fatal Injury,2024
43.636589,-79.399275,2,Non-Fatal Injury,2024
43.666199,-79.378333,2,Non-Fatal Injury,2024
43.658778,-79.395703,2,Non-Fatal Injury,2024
43.657107,-79.374554,2,Non-Fatal Injury,2023
43.64778,-79.400769,2,Non-Fatal Injury,2023
43.652865,-79.37682,2,Non-Fatal Injury,2023
43.647486,-79.402539,2,Non-Fatal Injury,2023
43.647486,-79.402539,2,Non-Fatal Injury,2023
43.672064,-79.377927,2,Non-Fatal Injury,2023
43.64427,-79.367779,2,Non-Fatal Injury,2023
43.652953,-79.398022,2,Non-Fatal Injury,2023
43.646899,-79.401135,2,Non-Fatal Injury,2023
43.650214,-79.385106,2,Non-Fatal Injury,2023
43.654291,-79.406804,2,Non-Fatal Injury,2023
43.672015,-79.354893,2,Non-Fatal Injury,2023
43.655714,-79.380612,2,Non-Fatal Injury,2023
43.655367,-79.373891,2,Non-Fatal Injury,2023
43.684691,-79.357365,2,Non-Fatal Injury,2023
43.674006,-79.396275,2,Non-Fatal Injury,2023
43.635489,-79.406682,2,Non-Fatal Injury,2023
43.672304,-79.377118,2,Non-Fatal Injury,2023
43.667301,-79.37373,2,Non-Fatal Injury,2023
43.663931,-79.343831,2,Non-Fatal Injury,2023
43.668715,-79.375325,2,Non-Fatal Injury,2023
43.688181,-79.403859,2,Non-Fatal Injury,2023
43.6574,-79.381329,2,Non-Fatal Injury,2023
43.675375,-79.404713,2,Non-Fatal Injury,2023
43.644469,-79.416211,2,Non-Fatal Injury,2023
43.651572,-79.362706,2,Non-Fatal Injury,2023
43.640997,-79.383473,2,Non-Fatal Injury,2023
43.645548,-79.369794,2,Non-Fatal Injury,2023
43.659205,-79.381558,2,Non-Fatal Injury,2023
43.655222,-79.398968,2,Non-Fatal Injury,2023
43.646742,-79.395535,2,Non-Fatal Injury,2023
43.643496,-79.422375,2,Non-Fatal Injury,2023
43.680724,-79.391057,2,Non-Fatal Injury,2023
43.643103,-79.371052,2,Non-Fatal Injury,2023
43.649031,-79.386792,2,Non-Fatal Injury,2023
43.658266,-79.398167,2,Non-Fatal Injury,2023
43.659426,-79.347417,2,Non-Fatal Injury,2023
43.659155,-79.348622,2,Non-Fatal Injury,2023
43.66704,-79.399647,2,Non-Fatal Injury,2023
43.678099,-79.388714,2,Non-Fatal Injury,2023
43.669672,-79.389477,2,Non-Fatal Injury,2023
43.642405,-79.427815,2,Non-Fatal Injury,2023
43.644286,-79.384778,2,Non-Fatal Injury,2023
43.661303,-79.357724,2,Non-Fatal Injury,2023
43.643198,-79.402364,2,Non-Fatal Injury,2023
43.651282,-79.380826,2,Non-Fatal Injury,2023
43.670161,-79.382779,2,Non-Fatal Injury,2023
43.640417,-79.388898,2,Non-Fatal Injury,2023
